,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Agra,Satisfactory,71,PM<s>2.5</s>,1,,2015-06-01
,Ahmedabad,Moderate,113,PM<s>2.5</s>,1,,2015-06-01
,Bengaluru,Satisfactory,67,CO,1,,2015-06-01
,Chennai,Moderate,177,PM<s>2.5</s>,3,,2015-06-01
,Delhi,Moderate,200,"O<s>3, </s>PM<s>10, </s>PM<s>2.5</s>",5,,2015-06-01
,Faridabad,Satisfactory,94,PM<s>2.5 </s>,1,,2015-06-01
,Hyderabad,Satisfactory,74,PM<s>2.5</s>,1,,2015-06-01
,Kanpur,Moderate,138,PM<s>2.5</s>,1,,2015-06-01
,Lucknow,Moderate,109,CO,3,,2015-06-01
,Navi Mumbai,Moderate,105,CO,1,,2015-06-01
,Varanasi,Very Poor,326,PM<s>10</s>,1,,2015-06-01
,,,,,,,2015-06-01
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-02
,Agra,Satisfactory,66,O<s>3</s>,1,,2015-06-02
,Ahmedabad,Satisfactory,80,PM<s>2.5</s>,1,,2015-06-02
,Bengaluru,Satisfactory,56,"O<s>3</s>, PM<s>2.5</s>",2,,2015-06-02
,Chennai,Poor,228,PM<s>2.5</s>,2,,2015-06-02
,Delhi,Poor,253,"O<s>3, </s>PM<s>10</s>",5,,2015-06-02
,Faridabad,Satisfactory,80,PM<s>2.5 </s>,1,,2015-06-02
,Lucknow,Moderate,109,CO,3,,2015-06-02
,Navi Mumbai,Moderate,108,CO,1,,2015-06-02
,,,,,,,2015-06-02
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-03
,Agra,Satisfactory,66,O<s>3</s>,1,,2015-06-03
,Ahmedabad,Moderate,172,PM<s>2.5</s>,1,,2015-06-03
,Bengaluru,Satisfactory,67,"CO, O<s>3</s>",2,,2015-06-03
,Chennai,Poor,211,PM<s>2.5</s>,3,,2015-06-03
,Delhi,Moderate,152,"PM<s>10, </s>PM<s>2.5</s>",6,,2015-06-03
,Faridabad,Moderate,135,PM<s>2.5 </s>,1,,2015-06-03
,Hyderabad,Satisfactory,77,PM<s>2.5</s>,1,,2015-06-03
,Kanpur,Moderate,104,PM<s>2.5</s>,1,,2015-06-03
,Lucknow,Moderate,184,"CO, PM<s>2.5</s>",2,,2015-06-03
,Varanasi,Poor,241,PM<s>10</s>,1,,2015-06-03
,,,,,,,2015-06-03
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-04
,Agra,Satisfactory,66,O<s>3</s>,1,,2015-06-04
,Ahmedabad,Satisfactory,66,O<s>3</s>,1,,2015-06-04
,Bengaluru,Good,46,NO<s>2</s>,2,,2015-06-04
,Chennai,Moderate,160,PM<s>2.5</s>,3,,2015-06-04
,Delhi,Moderate,195,"PM<s>2.5, </s>O<s>3</s>",6,,2015-06-04
,Faridabad,Satisfactory,96,PM<s>2.5</s>,1,,2015-06-04
,Hyderabad,Satisfactory,93,PM<s>2.5</s>,1,,2015-06-04
,Kanpur,Moderate,129,PM<s>2.5</s>,1,,2015-06-04
,Lucknow,Moderate,127,"PM<s>2.5, </s>CO",3,,2015-06-04
,Navi Mumbai,Moderate,107,CO,1,,2015-06-04
,Varanasi,Poor,296,PM<s>2.5</s>,1,,2015-06-04
,,,,,,,2015-06-04
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-05
,Agra,Satisfactory,63,O<s>3</s>,1,,2015-06-05
,Ahmedabad,Moderate,157,PM<s>2.5</s>,1,,2015-06-05
,Bengaluru,Good,46,O<s>3</s>,2,,2015-06-05
,Chennai,Moderate,151,PM<s>2.5</s>,3,,2015-06-05
,Faridabad,Moderate,187,PM<s>2.5</s>,1,,2015-06-05
,Hyderabad,Satisfactory,80,PM<s>2.5</s>,1,,2015-06-05
,Kanpur,Moderate,128,PM<s>2.5</s>,1,,2015-06-05
,Lucknow,Moderate,151,"PM<s>2.5, </s>CO",3,,2015-06-05
,Navi Mumbai,Moderate,108,CO,1,,2015-06-05
,Varanasi,Poor,222,PM<s>10</s>,1,,2015-06-05
,,,,,,,2015-06-05
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of stations,,2015-06-06
,Agra,Moderate,147,PM<s>2.5</s>,1,,2015-06-06
,Ahmedabad,Moderate,184,PM<s>2.5</s>,1,,2015-06-06
,Bengaluru,Good,45,CO,2,,2015-06-06
,Chennai,Moderate,112,PM<s>2.5</s>,3,,2015-06-06
,Delhi<s>+</s>,Satisfactory,95,PM<s>2.5</s>,2,,2015-06-06
,Faridabad,Moderate,156,PM<s>2.5</s>,1,,2015-06-06
,Hyderabad,Satisfactory,80,PM<s>2.5</s>,1,,2015-06-06
,Kanpur,Moderate,126,PM<s>2.5</s>,1,,2015-06-06
,Lucknow,Moderate,166,PM<s>2.5</s>,3,,2015-06-06
,Navi Mumbai,Moderate,110,CO,1,,2015-06-06
,Varanasi,Poor,275,PM<s>10</s>,1,,2015-06-06
,,,,,,,2015-06-06
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-07
,Agra,Moderate,127,PM<s>2.5</s>,1,,2015-06-07
,Ahmedabad,Moderate,149,PM<s>2.5</s>,1,,2015-06-07
,Bengaluru,Satisfactory,41,"CO, O<s>3</s>",2,,2015-06-07
